scope,name,count,mean_ms,median_ms,p95_ms,p99_ms,worst_ms,min_ms,stdev_ms,fps
global,30-ticks,30,3458.6278,3637.4239,5266.832,5318.9607,5320.2105,888.9059,1306.8089,0.289
stage,capture,30,0.0011,0.0011,0.0014,0.0016,0.0016,0.0009,0.0002,894934.671
stage,detection,30,3300.8295,3486.3843,5121.6505,5171.2257,5172.2367,746.6448,1307.0931,0.303
stage,classification,30,59.5126,57.1003,71.3197,84.5285,87.6137,53.3207,6.9943,16.803
stage,weakening_ocr,30,98.1651,94.3051,121.8492,153.1777,160.0984,85.8192,14.8913,10.187
stage,decision,30,0.0148,0.0148,0.019,0.0246,0.0266,0.008,0.0035,67615.081
